bin_left,bin_right,midpoint,count_benign,count_attack,count_total
-0.03223028010510143,-0.028711483573640225,-0.030470881839370828,64,0,64
-0.028711483573640225,-0.025192687042179022,-0.026952085307909622,367,0,367
-0.025192687042179022,-0.021673890510717816,-0.02343328877644842,741,0,741
-0.021673890510717816,-0.018155093979256617,-0.019914492244987217,984,0,984
-0.018155093979256617,-0.014636297447795411,-0.016395695713526014,1709,0,1709
-0.014636297447795411,-0.011117500916334209,-0.01287689918206481,1871,0,1871
-0.011117500916334209,-0.007598704384873006,-0.009358102650603608,1466,0,1466
-0.007598704384873006,-0.004079907853411804,-0.005839306119142405,1137,0,1137
-0.004079907853411804,-0.0005611113219506011,-0.0023205095876812024,898,0,898
-0.0005611113219506011,0.002957685209510605,0.0011982869437800019,611,4,615
0.002957685209510605,0.006476481740971804,0.004717083475241204,490,21,511
0.006476481740971804,0.00999527827243301,0.008235880006702407,506,41,547
0.00999527827243301,0.013514074803894209,0.01175467653816361,532,50,582
0.013514074803894209,0.017032871335355415,0.015273473069624812,771,65,836
0.017032871335355415,0.020551667866816614,0.018792269601086015,757,95,852
0.020551667866816614,0.02407046439827782,0.022311066132547217,960,114,1074
0.02407046439827782,0.027589260929739026,0.025829862664008423,1808,83,1891
0.027589260929739026,0.031108057461200225,0.029348659195469626,1158,73,1231
0.031108057461200225,0.034626853992661424,0.032867455726930825,1299,79,1378
0.034626853992661424,0.03814565052412264,0.03638625225839203,1578,135,1713
0.03814565052412264,0.041664447055583836,0.03990504878985324,841,137,978
0.041664447055583836,0.045183243587045036,0.043423845321314436,968,127,1095
0.045183243587045036,0.048702040118506235,0.046942641852775635,1112,102,1214
0.048702040118506235,0.05222083664996745,0.05046143838423684,1449,1270,2719
0.05222083664996745,0.05573963318142865,0.05398023491569805,1235,1824,3059
0.05573963318142865,0.059258429712889846,0.057499031447159246,1456,1261,2717
0.059258429712889846,0.06277722624435106,0.06101782797862045,1333,268,1601
0.06277722624435106,0.06629602277581226,0.06453662451008166,835,35,870
0.06629602277581226,0.06981481930727346,0.06805542104154286,468,44,512
0.06981481930727346,0.07333361583873466,0.07157421757300406,241,50,291
0.07333361583873466,0.07685241237019587,0.07509301410446526,234,55,289
0.07685241237019587,0.08037120890165707,0.07861181063592647,156,46,202
0.08037120890165707,0.08389000543311827,0.08213060716738767,59,44,103
0.08389000543311827,0.08740880196457948,0.08564940369884888,123,65,188
0.08740880196457948,0.09092759849604068,0.08916820023031008,30,30,60
0.09092759849604068,0.09444639502750188,0.09268699676177128,39,12,51
0.09444639502750188,0.09796519155896308,0.09620579329323248,25,13,38
0.09796519155896308,0.10148398809042428,0.09972458982469368,33,5,38
0.10148398809042428,0.10500278462188548,0.10324338635615488,31,5,36
0.10500278462188548,0.1085215811533467,0.10676218288761609,43,6,49
0.1085215811533467,0.1120403776848079,0.1102809794190773,52,5,57
0.1120403776848079,0.1155591742162691,0.1137997759505385,68,4,72
0.1155591742162691,0.1190779707477303,0.1173185724819997,129,4,133
0.1190779707477303,0.1225967672791915,0.1208373690134609,106,1,107
0.1225967672791915,0.1261155638106527,0.1243561655449221,98,1,99
0.1261155638106527,0.1296343603421139,0.1278749620763833,49,3,52
0.1296343603421139,0.13315315687357512,0.13139375860784452,42,1,43
0.13315315687357512,0.13667195340503632,0.13491255513930572,31,0,31
0.13667195340503632,0.14019074993649752,0.13843135167076692,12,2,14
0.14019074993649752,0.14370954646795872,0.14195014820222812,9,0,9
0.14370954646795872,0.14722834299941992,0.14546894473368932,12,0,12
0.14722834299941992,0.15074713953088112,0.14898774126515052,15,0,15
0.15074713953088112,0.15426593606234232,0.15250653779661172,44,0,44
0.15426593606234232,0.15778473259380354,0.15602533432807292,0,0,0
0.15778473259380354,0.16130352912526474,0.15954413085953414,1,0,1
0.16130352912526474,0.16482232565672594,0.16306292739099534,0,0,0
0.16482232565672594,0.16834112218818714,0.16658172392245654,0,0,0
0.16834112218818714,0.17185991871964834,0.17010052045391774,0,0,0
0.17185991871964834,0.17537871525110954,0.17361931698537894,0,0,0
0.17537871525110954,0.17889751178257074,0.17713811351684014,23,0,23
