bin_left,bin_right,midpoint,count_benign,count_attack,count_total
-0.045020960097103435,-0.03978604954970218,-0.042403504823402806,13531,3471,17002
-0.03978604954970218,-0.03455113900230092,-0.03716859427600155,2805,572,3377
-0.03455113900230092,-0.029316228454899656,-0.03193368372860029,8402,501,8903
-0.029316228454899656,-0.024081317907498397,-0.026698773181199027,0,0,0
-0.024081317907498397,-0.01884640736009714,-0.021463862633797768,0,0,0
-0.01884640736009714,-0.013611496812695877,-0.016228952086396506,0,0,0
-0.013611496812695877,-0.008376586265294618,-0.010994041538995247,0,0,0
-0.008376586265294618,-0.0031416757178933594,-0.005759130991593989,0,0,0
-0.0031416757178933594,0.0020932348295078992,-0.0005242204441927301,0,0,0
0.0020932348295078992,0.007328145376909158,0.0047106901032085285,2846,1636,4482
0.007328145376909158,0.012563055924310416,0.009945600650609787,0,0,0
0.012563055924310416,0.017797966471711682,0.01518051119801105,0,0,0
0.017797966471711682,0.02303287701911294,0.02041542174541231,0,0,0
0.02303287701911294,0.0282677875665142,0.02565033229281357,0,0,0
0.0282677875665142,0.03350269811391546,0.03088524284021483,0,0,0
0.03350269811391546,0.038737608661316716,0.03612015338761609,0,0,0
0.038737608661316716,0.043972519208717975,0.041355063935017346,0,0,0
0.043972519208717975,0.049207429756119234,0.046589974482418604,0,0,0
0.049207429756119234,0.05444234030352049,0.05182488502981986,0,0,0
0.05444234030352049,0.05967725085092175,0.05705979557722112,2147,0,2147
0.05967725085092175,0.06491216139832301,0.06229470612462238,0,0,0
0.06491216139832301,0.07014707194572427,0.06752961667202365,0,0,0
0.07014707194572427,0.07538198249312553,0.07276452721942489,0,0,0
0.07538198249312553,0.0806168930405268,0.07799943776682616,0,0,0
0.0806168930405268,0.08585180358792804,0.08323434831422742,0,0,0
0.08585180358792804,0.09108671413532932,0.08846925886162868,0,0,0
0.09108671413532932,0.09632162468273056,0.09370416940902994,0,0,0
0.09632162468273056,0.10155653523013183,0.0989390799564312,0,0,0
0.10155653523013183,0.10679144577753308,0.10417399050383246,0,0,0
0.10679144577753308,0.11202635632493435,0.10940890105123371,0,0,0
0.11202635632493435,0.1172612668723356,0.11464381159863497,0,0,0
0.1172612668723356,0.12249617741973687,0.11987872214603623,0,0,0
0.12249617741973687,0.12773108796713814,0.1251136326934375,0,0,0
0.12773108796713814,0.13296599851453939,0.13034854324083878,0,0,0
0.13296599851453939,0.13820090906194066,0.13558345378824002,1142,0,1142
0.13820090906194066,0.1434358196093419,0.14081836433564127,0,0,0
0.1434358196093419,0.14867073015674317,0.14605327488304254,0,0,0
0.14867073015674317,0.15390564070414442,0.1512881854304438,0,0,0
0.15390564070414442,0.1591405512515457,0.15652309597784506,0,0,0
0.1591405512515457,0.16437546179894694,0.1617580065252463,0,0,0
0.16437546179894694,0.1696103723463482,0.16699291707264757,0,0,0
0.1696103723463482,0.17484528289374945,0.17222782762004885,0,0,0
0.17484528289374945,0.18008019344115073,0.1774627381674501,0,0,0
0.18008019344115073,0.18531510398855197,0.18269764871485134,24,0,24
0.18531510398855197,0.19055001453595324,0.1879325592622526,0,0,0
0.19055001453595324,0.1957849250833545,0.19316746980965388,0,0,0
0.1957849250833545,0.20101983563075576,0.19840238035705512,0,0,0
0.20101983563075576,0.20625474617815703,0.2036372909044564,0,0,0
0.20625474617815703,0.2114896567255583,0.20887220145185767,84,0,84
0.2114896567255583,0.21672456727295952,0.21410711199925891,0,0,0
0.21672456727295952,0.2219594778203608,0.21934202254666016,0,0,0
0.2219594778203608,0.22719438836776207,0.22457693309406143,0,0,0
0.22719438836776207,0.23242929891516334,0.2298118436414627,0,0,0
0.23242929891516334,0.23766420946256456,0.23504675418886395,0,0,0
0.23766420946256456,0.24289912000996583,0.2402816647362652,0,0,0
0.24289912000996583,0.2481340305573671,0.24551657528366647,0,0,0
0.2481340305573671,0.2533689411047684,0.25075148583106777,0,0,0
0.2533689411047684,0.2586038516521696,0.255986396378469,20,0,20
0.2586038516521696,0.26383876219957086,0.2612213069258702,23,0,23
0.26383876219957086,0.26907367274697214,0.26645621747327153,85,0,85
