threshold,fpr,tpr
inf,0.0,0.0
0.1897604730296275,0.0006750458066797389,0.0
0.16538482443114944,0.0008036259603330226,0.0
0.16253433079086943,0.0008679160371596644,0.0
0.1606514957818418,0.0009322061139863062,0.0
0.15989363392590572,0.0010286412292262689,0.0
0.15963635403976162,0.0010607862676395897,0.0
0.15958227271733905,0.0011250763444662316,0.0
0.15945949788008407,0.0014143816901861198,0.0
0.15936368539776458,0.001671541997492687,0.0
0.15933772600037877,0.0017679771127326496,0.0
0.15924057003983094,0.0018001221511459707,0.0
0.15852476549314354,0.0019287023047992542,0.0
0.1582806108575514,0.0021215725352791794,0.0
0.15825371560693846,0.0024108778809990676,0.0
0.15815807831201578,0.0027966183419589185,0.0
0.14383083436906863,0.003053778649265486,0.0
0.14379255396748636,0.003053778649265486,0.00016181229773462783
0.14213508270334296,0.0031502137645054488,0.00016181229773462783
0.1420225831011993,0.0032145038413320904,0.00016181229773462783
0.14125529065348008,0.003375229033398695,0.00016181229773462783
0.1410101673152624,0.003375229033398695,0.00032362459546925567
0.13879412990934692,0.0037609694943585457,0.00032362459546925567
0.13853101954901115,0.0037609694943585457,0.0006472491909385113
0.13582113871956802,0.004307435147385001,0.0006472491909385113
0.13575118732100144,0.004307435147385001,0.0008090614886731392
0.13538828750076226,0.004468160339451605,0.0008090614886731392
0.1352199506000985,0.004468160339451605,0.000970873786407767
0.13468168747068965,0.00462888553151821,0.000970873786407767
0.1346289565776394,0.004693175608344852,0.000970873786407767
0.13108828666843542,0.005946832106464367,0.000970873786407767
0.1309828625602074,0.005946832106464367,0.0011326860841423948
0.12863250075954746,0.0071361985277572405,0.0011326860841423948
0.12847761998156249,0.0071361985277572405,0.0012944983818770227
0.12845578426456572,0.007200488604583883,0.0012944983818770227
0.1276996651663358,0.00748979395030377,0.0012944983818770227
0.12769527418620152,0.00748979395030377,0.0014563106796116505
0.12615423239079038,0.008679160371596644,0.0014563106796116505
0.12614737847319257,0.00890417564048989,0.0014563106796116505
0.126056700518688,0.009032755794143175,0.0014563106796116505
0.12605640588909572,0.009418496255103026,0.0014563106796116505
0.12572023359177875,0.009739946639236234,0.0014563106796116505
0.12571646487642352,0.009868526792889517,0.0014563106796116505
0.12569355254130188,0.009932816869716159,0.0014563106796116505
0.12562555489950955,0.010414992445915972,0.0014563106796116505
0.12550319354866857,0.010479282522742614,0.0014563106796116505
0.12547870413211648,0.010479282522742614,0.0017799352750809063
0.12322730279489291,0.01205438940499534,0.0017799352750809063
0.1230523992489182,0.01211867948182198,0.0017799352750809063
0.12108667212511826,0.013533061172008101,0.0017799352750809063
0.12101593178949233,0.013533061172008101,0.001941747572815534
0.12096202848373161,0.013693786364074706,0.001941747572815534
0.12089980577479065,0.013693786364074706,0.002103559870550162
0.12029137110426491,0.013918801632967952,0.002103559870550162
0.12021960573425006,0.013918801632967952,0.0024271844660194173
0.11965746521860332,0.01459384743964769,0.0024271844660194173
0.11962996462966557,0.01459384743964769,0.0025889967637540453
0.1189537737490467,0.015365328361567392,0.0025889967637540453
0.11891999370032869,0.015429618438394034,0.0025889967637540453
0.11642109823562541,0.017165450512713364,0.0025889967637540453
0.11642019226896583,0.017165450512713364,0.002750809061488673
0.1152450677735738,0.017969076473046384,0.002750809061488673
0.11523454599716176,0.017969076473046384,0.002912621359223301
0.11502078383705094,0.018226236780352952,0.002912621359223301
0.11501178298879067,0.018322671895592915,0.002912621359223301
0.11464307017832187,0.018644122279726123,0.002912621359223301
0.1145076315590342,0.018644122279726123,0.0030744336569579287
0.11444196364496317,0.018676267318139445,0.0030744336569579287
0.11436264481525549,0.018676267318139445,0.003236245954692557
0.1143284836623708,0.018708412356552767,0.003236245954692557
0.11418971834147795,0.018708412356552767,0.0035598705501618125
0.11207598313836242,0.020540679546112058,0.0035598705501618125
