threshold,fpr,tpr
inf,0.0,0.0
0.9999310577849231,0.0,0.011812297734627832
0.9980951242479585,3.21450384133209e-05,0.03867313915857605
0.9829117039519081,6.42900768266418e-05,0.06666666666666667
0.9612265678369264,0.0014465267285994406,0.2320388349514563
0.8854728005021524,0.014465267285994407,0.7297734627831716
0.779291126856039,0.014883152785367578,0.7357605177993527
0.763777164086206,0.016265389437140378,0.7679611650485437
0.6787035866707299,0.017358320743193288,0.7796116504854369
0.6547295930012526,0.01890128258703269,0.7923948220064725
0.597619399449851,0.0192227329711659,0.7938511326860841
0.5942194793076301,0.01964061847053907,0.7953074433656958
0.533323138277116,0.022565816966151276,0.8113268608414239
0.3362839588044079,0.024044488733164036,0.8140776699029126
0.3004628677548244,0.02745186280497605,0.8213592233009709
0.2776965271803595,0.028673374264682246,0.8229773462783172
0.23068948332069758,0.03166286283712109,0.8270226537216828
0.21638138604263957,0.03969912244045132,0.8396440129449838
0.19845570026596096,0.044006557587836316,0.8453074433656957
0.1745159831657251,0.07563727538654409,0.8836569579288026
0.173378373679875,0.08640586325500658,0.8932038834951457
0.16128297187961735,0.089652512134752,0.8961165048543689
0.15236137021590956,0.09547076408756308,0.9022653721682848
0.14619456825532376,0.09813880227586871,0.9058252427184466
0.10767519423826148,0.10238194734642708,0.9084142394822007
0.10334767616635053,0.10668938249381207,0.9103559870550162
0.09800528701198896,0.11282908483075638,0.913915857605178
0.09667422417819635,0.1632967951396702,0.9377022653721683
0.09215337717897233,0.168986466938828,0.9398058252427185
0.08772433791681354,0.17570477996721207,0.9427184466019417
0.07602659431920472,0.17676556623485165,0.943042071197411
0.0723028724979859,0.17779420746407792,0.9435275080906149
0.06891677570815258,0.18570188691375486,0.9470873786407767
0.06446347245767005,0.18962358160018,0.9475728155339805
0.056731423064084185,0.19672763508952393,0.95
0.0532992776275297,0.21816837571120898,0.9558252427184466
0.05121632540417406,0.2220579253592208,0.9564724919093851
0.046705399297614414,0.22720113150535215,0.9572815533980582
0.0460039930641807,0.23655533768362852,0.959546925566343
0.04575731874681878,0.254235108810955,0.9645631067961165
0.042399813502073405,0.25902471953453987,0.9656957928802589
0.04121755923511078,0.2623035134526986,0.9663430420711974
0.032331824295998554,0.2678324600597898,0.9674757281553398
0.02541515368086124,0.2921662541386737,0.9723300970873786
0.024943860173678174,0.31749654440837055,0.9755663430420712
0.023948358919287194,0.3196502619820631,0.9763754045307443
0.01730893392014427,0.32916519335240607,0.9771844660194174
0.016363217189915288,0.3631746439936996,0.9800970873786408
0.01515371586841049,0.37092159825130994,0.9809061488673139
0.014057945964840167,0.37976148381497316,0.9812297734627832
0.01075980232915692,0.4039666977402038,0.9836569579288026
0.010710634470658526,0.44668745379150726,0.9867313915857605
0.00996407359294402,0.5697065157992863,0.9922330097087378
0.007135055723512015,0.6121701115432833,0.9938511326860842
0.007061978331621752,0.6451830659937638,0.9957928802588997
0.006995278338219633,0.6852679288951751,0.9970873786407767
0.005769946359812256,0.7161914558487897,0.9982200647249191
0.004708816902284074,0.7606480439744125,0.9991909385113269
0.0030400189571274335,0.8216593268828957,0.9998381877022654
0.0017075127548188064,0.8281204796039732,0.9998381877022654
0.0016876002412527672,0.8380854415121026,0.9998381877022654
0.00035474607489463495,0.9897457327461506,1.0
2.2159239720329252e-05,0.993088816741136,1.0
1.669723424648328e-05,1.0,1.0
