threshold,fpr,tpr
inf,0.0,0.0
0.9999998450158241,0.0,0.0008090614886731392
0.999999845015777,0.0,0.652588996763754
0.9999998446494619,0.0,0.6838187702265373
0.9999998443124765,0.0,0.684789644012945
0.9999998443124292,0.0,0.7050161812297735
0.9999998440332744,0.0,0.7126213592233009
0.9999998437791633,0.0,0.7150485436893204
0.9999998437791158,0.0,0.7760517799352751
0.9999998231797467,0.0,0.7788025889967638
0.9999998231796929,0.0,0.7851132686084142
0.9999997968478289,0.0,0.7959546925566343
0.9999997960210375,0.0,0.8071197411003236
0.9999997954268228,0.0,0.8097087378640777
0.9999997952277626,0.0,0.8108414239482201
0.9999997947038382,0.0,0.8110032362459547
0.999999794594248,0.0,0.8153721682847896
0.9999997943943778,0.0,0.8166666666666667
0.9999997943357329,0.0,0.8187702265372169
0.9999997940005887,0.0,0.8199029126213592
0.999999793868321,0.0,0.8203883495145631
0.9999997937954245,0.0,0.8215210355987055
0.9999997934987177,0.0,0.823462783171521
0.9999997931622094,0.0,0.8245954692556634
0.9999997929562103,0.0,0.8254045307443366
0.9999997928971551,0.0,0.8257281553398058
0.9999997920542852,0.0,0.8266990291262136
0.9999997917154234,0.0,0.8268608414239482
0.9999997913568486,0.0,0.844822006472492
0.9999997912100492,0.0,0.8451456310679611
0.9999997911750008,0.0,0.8498381877022654
0.99999979102801,0.0,0.8506472491909385
0.9999997907394984,0.0,0.851294498381877
0.9999997907058719,0.0,0.8517799352750809
0.9999997899240014,0.0,0.8522653721682848
0.9999997899239703,0.0,0.8545307443365696
0.9999997897408737,0.0,0.855663430420712
0.9999997895928735,0.0,0.8559870550161812
0.9999997873890946,0.0,0.8564724919093851
0.9999997870078424,0.0,0.8611650485436894
0.9999997866608217,0.0,0.861326860841424
0.9999997866607568,0.0,0.8634304207119741
0.9999997864373106,0.0,0.8637540453074434
0.9999997857935646,0.0,0.8642394822006473
0.9999997680432352,0.0,0.8679611650485437
0.9999997670992146,0.0,0.8684466019417476
0.9999997652808226,0.0,0.8687702265372168
0.9999997538365493,0.0,0.86957928802589
0.9999997538364744,0.0,0.8766990291262136
0.9999997405277861,0.0,0.8773462783171521
0.9999997268728682,0.0,0.8775080906148868
0.9999997264277887,0.0,0.8784789644012945
0.9999997228935311,0.0,0.8828478964401294
0.999999722893447,0.0,0.888673139158576
0.9999997200978772,0.0,0.8889967637540453
0.9999997107484673,0.0,0.8923948220064725
0.9999997101833095,0.0,0.8935275080906149
0.9999997095712676,0.0,0.8966019417475728
0.9999997094983093,0.0,0.8980582524271845
0.9999997088680662,0.0,0.8985436893203883
0.9999997087252146,0.0,0.898705501618123
0.9999997084417893,0.0,0.8993527508090615
0.9999997075397806,0.0,0.8998381877022654
0.999999707255202,0.0,0.9
0.9999997066945182,0.0,0.9017799352750809
0.9999997055008197,0.0,0.9032362459546925
0.9999996825789228,0.0,0.9134304207119741
0.9999996797844357,0.0,0.9137540453074434
0.9999996759063279,0.0,0.913915857605178
0.9999996759062293,0.0,0.9228155339805825
0.9999996670338768,0.0,0.9229773462783172
